::1 - [30/Nov/2018:02:19:35 +0100] GET /  HTTP/2.0 200 38374 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:19:35 +0100] GET /js/manifest-bundle.js  HTTP/2.0 200 1449 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:19:35 +0100] GET /css/vendor.css  HTTP/2.0 200 2907 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:19:35 +0100] GET /css/main.css  HTTP/2.0 200 19490 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:19:35 +0100] GET /js/vendor-bundle.js  HTTP/2.0 200 394364 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:19:35 +0100] GET /js/main-bundle.js  HTTP/2.0 200 11061 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:19:36 +0100] GET /fonts/IBMPlexSans-SemiBold-Latin1.woff2  HTTP/2.0 200 17516 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:19:36 +0100] GET /fonts/IBMPlexSans-Regular-Latin1.woff2  HTTP/2.0 200 16528 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:20:03 +0100] GET /  HTTP/2.0 200 38374 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:20:03 +0100] GET /css/vendor.css  HTTP/2.0 200 2907 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:20:03 +0100] GET /js/manifest-bundle.js  HTTP/2.0 200 1449 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
